,designCapacity,designCapacityUOM,eisProcessID,eisUnitID,energyMJ,energyMJq0,energyMJq2,energyMJq3,fuelType,processDescription,registryID,throughputTonneQ0,throughputTonneQ2,throughputTonneQ3,unitDescription,unitName,unitType,unitTypeStd,legislativeDistrictNumber,hucCode8,siteTypeName,name,locationAddress,postalCode,cityName,countyName,stateCode,countyFIPS,sensitiveInd,smallBusInd,envJusticeCode,eisFacilityID,eisFacilityIDAdditional,ghgrpID,ghgrpIDAdditional,epaRegionCode,locationDescription,latitude,longitude,naicsCode,naicsCodeAdditional,"('weeklyOpHoursLow', 'q1')","('weeklyOpHoursLow', 'q2')","('weeklyOpHoursLow', 'q3')","('weeklyOpHoursLow', 'q4')","('weeklyOpHours', 'q1')","('weeklyOpHours', 'q2')","('weeklyOpHours', 'q3')","('weeklyOpHours', 'q4')","('weeklyOpHoursHigh', 'q1')","('weeklyOpHoursHigh', 'q2')","('weeklyOpHoursHigh', 'q3')","('weeklyOpHoursHigh', 'q4')",censusBlock
109949,,,,,,,,,,,110000491762.0,,,,,,,,0200,,STATIONARY,UNIVAR US,590 E 100TH AVE,99515.0,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,02020,False,False,,677711.0,,,,10.0,,61.12940699999999,-149.871824,325612.0,,50.223995,49.100002,71.56,49.544,90.6,88.3,99.0,81.1,50.223995,49.100002,71.56,49.544,020200027121016
109950,,,,,,,,,,,110000510215.0,,,,,,,,0200,,STATIONARY,E C PHILLIPS AND SON KETCHIKAN PLT,1775 TONGASS AVE,99901.0,KETCHIKAN,KETCHIKAN GATEWAY BOROUGH,AK,02130,False,False,,,,,,10.0,,55.347791,-131.666443,311712.0,"[311711, 31171, 311712, 311712, 311712]",,,,,,,,,,,,,021300003002017
109951,,,,,,,,,,,110000526574.0,,,,,,,,0200,,STATIONARY,AK PAC SEAFOODS,627 SHELIKOF ST,99615.0,KODIAK,KODIAK ISLAND BOROUGH,AK,02150,False,,,,,,,10.0,,57.78526,-152.422192,311712.0,"[311712, 31171, 311712]",,,,,,,,,,,,,021500003001016
109952,,,,,,,,,,,110000527920.0,,,,,,,,0200,,,SEWARD FISHERIES,601 PORT AVE,99664.0,SEWARD,KENAI PENINSULA BOROUGH,AK,02122,False,,,,,,,10.0,,60.121212,-149.43596499999995,311712.0,"[311712, 311711, 311712, 311712, 311712, 311712, 311712, 311712]",,,,,,,,,,,,,021220013002015
109953,,,,,,,,,,,110000528947.0,,,,,,,,0200,,STATIONARY,DOKOOZIAN & ASSOC TRACT A 2ND IND PARK 6800,6798 SEAFOOD DR,99518.0,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,02020,False,True,,,,,,10.0,,61.161053,-149.90407,311712.0,,,,,,,,,,,,,,020200025011002
109954,,,,,,,,,,,110000529599.0,,,,,,,,0200,19020701.0,STATIONARY,KODIAK SEAFD PRCSG FACLTY,521 SHELIKOF ST,99615.0,KODIAK,KODIAK ISLAND BOROUGH,AK,02150,False,False,,,,,,10.0,,57.78619000000001,-152.41806,311712.0,"[311712, 311712, 31171, 311712]",,,,,,,,,,,,,021500003001009
109955,,,,,,,,,,,110000710632.0,,,,,,,,0200,,STATIONARY,EKUK PROPERTIES OW EKUK FISHERIES EKUK,,98107.0,SEATTLE,KING COUNTY,WA,02070,False,,,,,,,10.0,,58.815319,-158.56033100000005,311712.0,"[31171, 311712, 311712]",,,,,,,,,,,,,020700001001233
109956,,,,,,,,,,,110000730193.0,,,,,,,,0200,,STATIONARY,NORTH PAC SEAFOODS SITKA,329 KATLIAN ST,99835.0,SITKA,SITKA CITY AND BOROUGH,AK,02220,False,False,,,,,,10.0,,57.051509,-135.343151,31171.0,[311712],77.128,82.619995,90.728,83.288,93.2,103.2,111.7,102.3,77.128,82.619995,90.728,83.288,022200002005000
109957,,,,,,,,,,,110000779961.0,,,,,,,,0200,,POTENTIALLY CONTAMINATED SITE,USDOT FAA PT WORONZOF RTR FACLTY,,99501.0,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,02020,False,,,10604711.0,,,,10.0,,61.181239,-149.99359099999995,237310.0,"[237990, 324121, 237310, 333912, 324121]",,,,,,,,,,,,,020200023011009
109958,,,,,,,,,,,110000780049.0,,,,,,,,0200,,STATIONARY,BKR HUGHES PETROLITE,14704 KENAI SPUR HWY,99611.0,KENAI,KENAI PENINSULA BOROUGH,AK,02122,False,,,,,,,10.0,,60.584059,-151.323152,21111.0,"[213112, 213115]",,,,,,,,,,,,,021220006002014
109959,,,,,,,,,,,110000885873.0,,,,,,,,0200,,STATIONARY,USDOT CG KETCHIKAN,1630 S TONGASS HWY,99901.0,KETCHIKAN,KETCHIKAN GATEWAY BOROUGH,AK,02130,False,,,,,,,10.0,,55.33373,-131.62533,336611.0,"[336611, 332999, 336611, 336611, 332999]",40.788002,41.136,40.552002,42.796,54.9,52.7,52.9,52.4,40.788002,41.136,40.552002,42.796,021300003003003
109960,,,,,,,,,,,110001717492.0,,,,,,,,0200,,STATIONARY,COLASKA DBA QA ASPHLT PLT CEDR,44600 HOLT LAMPLIGHT RD,99611.0,KENAI,KENAI PENINSULA BOROUGH,AK,02122,False,,,,,,,10.0,,60.691917,-151.235043,237310.0,[237310],,,,,,,,,,,,,021220002004032
