FACTORID,SCC,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAP_TO,POLLUTANT,NEI_POLLUTANT_CODE,CAS,FACTOR,UNIT,MEASURE,MATERIAL,ACTION,FORMULA,CONTROL_1,CONTROLCODE_1,CONTROL_2,CONTROLCODE_2,CONTROL_3,CONTROLCODE_3,CONTROL_4,CONTROLCODE_4,CONTROL_5,CONTROLCODE_5,REF_DESC,NOTES,QUALITY,TEST_REPORT_RATING,CREATED,REVOKED,DUPCOUNT,DUPREASON,DATE_CSV_UPDATED,CONDITION,VARIABLE_DEFINITION,APPLICABILITY,DERIVATION
6125,10200804,External Combustion Boilers                           ,Industrial                                                            ,Petroleum Coke                                                        ,Cogeneration                                                          ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Coke,Burned,3.90E+01*CS,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units. This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",U,,3/1/1990,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
7901,10300217,External Combustion Boilers                           ,Commercial/Institutional                              ,Bituminous/Subbituminous Coal                                         ,Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)  ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.96E+01*CS*(MR)^-1.9,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,9/1/1998,,0,,4/18/2022,1.5<MR<7,CS=Coal sulfur content (weight %); MR=Molar ratio of calcium to sulfur in the fluidized bed,This formula applies to FBCs where the Ca/S ratio in the fluidized bed is between 1.5 and 7.,
6032,10200802,External Combustion Boilers                           ,Industrial                                                            ,Petroleum Coke                                                        ,All Boiler Sizes                                                      ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Coke,Burned,3.90E+01*CS,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units. This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,,3/1/1990,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,
6078,10201403,External Combustion Boilers                           ,Industrial                                                            ,CO Boiler                                                             ,Distillate Oil                                                        ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil,Burned,1.436E+02*FS,UNCONTROLLED,0,,,,,,,,,Emission factor was transferred from other oil-burning boilers assuming process similarity., Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.  ,U,,,,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,Emission factor was transferred from other oil-burning boilers assuming process similarity.
28697,10100317,External Combustion Boilers                           ,Electric Generation                                   ,Lignite                                                               ,Atmospheric Fluidized Bed Combustion - Bubbling Bed                   ,,Sulfur oxides (SOx),,   ,FORMULA,Lb,Tons,Lignite,Burned,3.40E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.7, Lignite Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S.Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.","To determine EF in lb/ton, multiply the EF by the wt. % sulfur content of lignite, wet basis.  For high sodium ash (Na2O>8%), use EF of 22 lb/ton/wt. % sulfur.  For low sodium ash (Na2O<2%), use 34 lb/ton/wt. % sulfur.  S=% Sulfur Content.",C,,9/1/1998,,0,,9/10/2021,Na2O<2,CS=Coal sulfur content (weight %); Na2O=Ash sodium content (weight %),Fluidized bed using limestone bed material.  ,
8991,10300221,External Combustion Boilers                           ,Commercial/Institutional                              ,Bituminous/Subbituminous Coal                                         ,Pulverized Coal: Wet Bottom (Subbituminous Coal)                      ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Subbituminous Coal,Burned,3.50E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the wt. % sulfur content of the fuel to obtain emission factor in lb/activity units.  ,A,,9/1/1998,,0,,4/18/2022,,CS=Coal sulfur content (weight %),,"Expressed as SO2, including SO2, SO3, and gaseous sulfates.  "
22003,31000405,Industrial Processes                                  ,Oil and Gas Production                                ,Process Heaters                                                       ,Process Gas                                                           ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Million Standard Cubic Feet,Process Gas,Burned,9.50E+02*FS,UNCONTROLLED,0,,,,,,,,,,Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.  ,U,,,,0,,4/8/2022,,FS=Fuel sulfur content (weight %),,
22227,39990004,Industrial Processes                                  ,Miscellaneous Manufacturing Industries                                ,Miscellaneous Manufacturing Industries                                ,Process Gas: Process Heaters                                          ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Million Standard Cubic Feet,Process Gas,Burned,9.50E+02*FS,UNCONTROLLED,0,,,,,,,,,Emission factor is based on one emission test from State I.,Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,U,,,,0,,4/8/2022,,FS=Fuel sulfur content (weight %),,Emission factor is based on one emission test from State I.
28696,10100317,External Combustion Boilers                           ,Electric Generation                                   ,Lignite                                                               ,Atmospheric Fluidized Bed Combustion - Bubbling Bed                   ,,Sulfur oxides (SOx),,   ,FORMULA,Lb,Tons,Lignite,Burned,2.20E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.7, Lignite Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S.Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.","To determine EF in lb/ton, multiply the EF by the wt. % sulfur content of lignite, wet basis.  For high sodium ash (Na2O>8%), use EF of 22 lb/ton/wt. % sulfur.  For low sodium ash (Na2O<2%), use 34 lb/ton/wt. % sulfur.  S=% Sulfur Content.",C,,9/1/1998,,0,,9/10/2021,Na2O>8,CS=Coal sulfur content (weight %); Na2O=Ash sodium content (weight %),Fluidized bed using limestone bed material.  ,
22221,39990002,Industrial Processes                                  ,Miscellaneous Manufacturing Industries                                ,Miscellaneous Manufacturing Industries                                ,Residual Oil: Process Heaters                                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Residual Oil,Burned,1.586E+02*FS,UNCONTROLLED,0,,,,,,,,,Emission factor is based on one emission test from State I.,Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,,,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,Emission factor is based on one emission test from State I.
